,artist_id,artist,image,genres,popularity,link,followers
20,5WRElKaZsn1tGnrgmJVAeO,Cam,https://i.scdn.co/image/ab6761610000e5eb912d06725ca36eb9d8d957fd,"['contemporary country', 'country', 'country pop']",61,https://api.spotify.com/v1/artists/5WRElKaZsn1tGnrgmJVAeO,217043
21,3QTDHixorJelOLxoxcjqGx,SiR,https://i.scdn.co/image/ab6761610000e5eb6b2fbfa1870bd89c377f8293,"['alternative r&b', 'hip hop', 'indie soul', 'la pop', 'r&b', 'rap', 'underground hip hop']",67,https://api.spotify.com/v1/artists/3QTDHixorJelOLxoxcjqGx,646110
22,3Gm5F95VdRxW3mqCn8RPBJ,Aminé,https://i.scdn.co/image/ab6761610000e5eb1f98760ed5b47b21eaf56e8f,"['hip hop', 'pop', 'portland hip hop', 'rap', 'underground hip hop']",76,https://api.spotify.com/v1/artists/3Gm5F95VdRxW3mqCn8RPBJ,1741341
23,4vpDg7Y7fU982Ds30zawDA,The Band,https://i.scdn.co/image/750c386b0ca07258347328b68e171bfcc1addead,"['album rock', 'blues rock', 'classic canadian rock', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'heartland rock', 'jam band', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'swamp rock']",66,https://api.spotify.com/v1/artists/4vpDg7Y7fU982Ds30zawDA,876638
24,60h3lZFY2T93K7qxVPrajf,Jimmy Wayne,https://i.scdn.co/image/af38f6165cb326288a92b59e10c6601fe341c0ec,"['country', 'country road']",38,https://api.spotify.com/v1/artists/60h3lZFY2T93K7qxVPrajf,56681
25,0uq5PttqEjj3IH1bzwcrXF,Spice Girls,https://i.scdn.co/image/ab6761610000e5ebcf4a1dced6258416eb219e36,"['dance pop', 'europop', 'girl group', 'pop']",72,https://api.spotify.com/v1/artists/0uq5PttqEjj3IH1bzwcrXF,2611819
26,7jFaoqWPhYLrKzjzlpXmUO,David Banner,https://i.scdn.co/image/633d4785459de9d79caef69e87d3d54dcb19cfa0,"['conscious hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",56,https://api.spotify.com/v1/artists/7jFaoqWPhYLrKzjzlpXmUO,648740
27,0Mz5XE0kb1GBnbLQm2VbcO,Mos Def,https://i.scdn.co/image/d39cd5769332fb51014cc1cc9934c8890fcd49f7,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']",69,https://api.spotify.com/v1/artists/0Mz5XE0kb1GBnbLQm2VbcO,1178377
28,51d3rUlLuMh7EW09aMe7yj,B2K,https://i.scdn.co/image/190ee6dd8c41f65ad097df2629544a99f345afaa,"['boy band', 'contemporary r&b', 'dance pop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']",56,https://api.spotify.com/v1/artists/51d3rUlLuMh7EW09aMe7yj,643413
29,6mdiAmATAx73kdxrNrnlao,Iron Maiden,https://i.scdn.co/image/ab6761610000e5ebdc52c8e309e46aa8430a0fa0,"['hard rock', 'metal', 'nwobhm', 'rock']",76,https://api.spotify.com/v1/artists/6mdiAmATAx73kdxrNrnlao,7135147
30,23zg3TcAtWQy7J6upgbUnj,Usher,https://i.scdn.co/image/ab6761610000e5ebead4738ecc1ba2885e189491,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",83,https://api.spotify.com/v1/artists/23zg3TcAtWQy7J6upgbUnj,9464987
31,5LfGQac0EIXyAN8aUwmNAQ,The Offspring,https://i.scdn.co/image/ab6761610000e5ebd7c5bbf32459922a72ec0d31,"['alternative metal', 'permanent wave', 'punk', 'rock', 'skate punk', 'socal pop punk']",79,https://api.spotify.com/v1/artists/5LfGQac0EIXyAN8aUwmNAQ,4554185
32,52karaTYZPcUZRPr3zy3X4,Def Squad,https://i.scdn.co/image/ab6761610000e5eb495656f19d36c0b40ce5e4b3,"['hardcore hip hop', 'hip hop']",32,https://api.spotify.com/v1/artists/52karaTYZPcUZRPr3zy3X4,85832
33,0HLOP0AdsaWe5Pt5TNueGC,Terri Clark,https://i.scdn.co/image/ab6761610000e5eb5ebe171494338a8439597968,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country dawn', 'country road']",51,https://api.spotify.com/v1/artists/0HLOP0AdsaWe5Pt5TNueGC,435454
34,1DFr97A9HnbV3SKTJFu62M,Motörhead,https://i.scdn.co/image/ab6761610000e5ebd025f4c7eafbd08b04e8c695,"['album rock', 'hard rock', 'metal', 'rock', 'speed metal']",69,https://api.spotify.com/v1/artists/1DFr97A9HnbV3SKTJFu62M,3123920
35,3cMyqwpNT2D8f0WuaRzzZX,Billy Dean,https://i.scdn.co/image/ab6761610000e5eb3e546ad5978fce807fa6b1ce,"['bluegrass gospel', 'country', 'country road', 'country rock']",47,https://api.spotify.com/v1/artists/3cMyqwpNT2D8f0WuaRzzZX,103219
36,15iVAtD3s3FsQR4w1v6M0P,Chief Keef,https://i.scdn.co/image/ab6761610000e5eb32b8f233fa03ac70fa97781a,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",78,https://api.spotify.com/v1/artists/15iVAtD3s3FsQR4w1v6M0P,3161875
37,2OpqcUtj10HHvGG6h9VYC5,George Jones,https://i.scdn.co/image/ab6761610000e5eb5f79cb1d93cfa9684c1f6dc9,"['country', 'country rock', 'honky tonk']",66,https://api.spotify.com/v1/artists/2OpqcUtj10HHvGG6h9VYC5,910659
38,66TrUkUZ3RM29dqeDQRgyA,Ella Eyre,https://i.scdn.co/image/ab6761610000e5eb12123322672fbf71bd1e5c94,"['dance pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",69,https://api.spotify.com/v1/artists/66TrUkUZ3RM29dqeDQRgyA,747789
